Frase,Autor,Cat1,Cat2,Cat3,Cat4
Siembra un acto y cosecharás un hábito. Siembra un hábito y cosecharás un carácter. Siembra un carácter y cosecharás un destino.,Charles Reade (1814-1884) Escritor inglés.,SENTIMIENTOS,AMOR,,
El verdadero amor no es otra cosa que el deseo inevitable de ayudar al otro para que sea quien es.,Jorge Bucay (1949-?) Escritor y psicoterapeuta argentino.,SENTIMIENTOS,AMISTAD,AMIGOS,
Amigos son aquellos extraños seres que nos preguntan como estamos y se esperan a oír la contestación.,Ed Cunningham,MISCELÁNEA,RESULTADOS,,
"Si buscas resultados distintos, no hagas siempre lo mismo.",Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,SENTIMIENTOS,AMISTAD,AMIGOS,
"Lo malo del amigo es que nos dice las cosas desagradables a la cara; el enemigo las dice a nuestras espaldas y como no nos enteramos, nada ocurre.",Alfred de Musset (1810-1857) Poeta francés.,SENTIMIENTOS,AMISTAD,AMIGOS,
"Los amigos son como la sangre, cuando se está herido acuden sin que se los llame.",Anónimo,SENTIMIENTOS,AMOR,INFIDELIDAD,
"La mujer perdona las infidelidades, pero no las olvida. El hombre olvida las infidelidades, pero no las perdona.",Severo Catalina (1832-1871) Periodista y escritor español.,SENTIMIENTOS,AMOR,CORAZÓN,
"Un hombre de noble corazón irá muy lejos, guiado por la palabra gentil de una mujer.",Goethe (1749-1832) Poeta y dramaturgo alemán.,NATURALEZA,VIDA,,
"Al final, lo que importa no son los años de vida, sino la vida de los años.",Abraham Lincoln (1808-1865) Político estadounidense.,TIEMPO,PASADO,,
"La memoria del corazón elimina los malos recuerdos y magnifica los buenos, y gracias a ese artificio, logramos sobrellevar el pasado.",Gabriel García Márquez (1927-2014) Escritor colombiano.,SENTIMIENTOS,AMOR,CORAZÓN,
"Un corazón es una riqueza que no se vende ni se compra, pero que se regala.",Gustave Flaubert (1821-1880) Escritor francés.,PENSAMIENTO Y RAZÓN,MENTIRAS,,
"No que me hayas mentido, que ya no pueda creerte, eso me aterra.",Friedrich Nietzsche (1844-1900) Filosofo alemán.,SENTIMIENTOS,CELOS,,
El que no tiene celos no está enamorado.,San Agustín (354-430) Obispo y filósofo.,SENTIMIENTOS,AMISTAD,AMIGOS,
"Tómate tiempo en escoger un amigo, pero sé más lento aún en cambiarlo.",Benjamin Franklin (1706-1790) Estadista y científico estadounidense.,SENTIMIENTOS,AMISTAD,,
¿Qué cosa más grande que tener a alguien con quien te atrevas a hablar como contigo mismo?,"Cicerón (106 AC-43 AC) Escritor, orador y político romano.",CUALIDADES,SABIDURÍA,,
"No basta saber, se debe también aplicar. No es suficiente querer, se debe también hacer.",Goethe (1749-1832) Poeta y dramaturgo alemán.,NATURALEZA,VIDA,,
"La vida es muy peligrosa. No por las personas que hacen el mal, sino por las que se sientan a ver lo que pasa.",Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,PENSAMIENTO Y RAZÓN,MEMORIA,,
"La memoria es como el mal amigo; cuando más falta te hace, te falla.",Refrán,CUALIDADES,EXIGENCIA,,
Exígete mucho a ti mismo y espera poco de los demás. Así te ahorrarás disgustos.,Confucio (551 AC-478 AC) Filósofo chino.,DEFECTOS,ESTUPIDEZ,,
Hay dos cosas infinitas: el Universo y la estupidez humana. Y del Universo no estoy seguro.,Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,SENTIMIENTOS,SOLEDAD,,
"Amor, cuántos caminos hasta llegar a un beso, ¡qué soledad errante hasta tu compañía!",Pablo Neruda (1904-1973) Poeta chileno.,SOCIEDAD,MATRIMONIO,,
