Frase,Autor,Cat1,Cat2,Cat3,Cat4,,,
"El que no inventa, no vive.",Ana María Matute (1926-2014) Novelista española.,SOCIEDAD,RELIGIÓN,DIOS,NULL,,,
La ilusión por la vida nos hace soportar la proximidad de la muerte.,Ana María Matute (1926-2014) Novelista española.,SENTIMIENTOS,AMOR,INFIDELIDAD,NULL,,,
"Para algunas cosas disponemos de un talento natural; otras hay que aprenderlas. Algunas cosas, sencillamente, somos incapaces de hacerlas.","Sidney Lumet (1924-2011) Director, productor y guionista estadounidense.",SOCIEDAD,EDUCACIÓN,NULL,NULL,,,
No sé de qué trata mi vida ni quiero saberlo. Mi vida se define a sí misma cuando la vivo. Las películas se definirán a sí mismas cuando las haga.,"Sidney Lumet (1924-2011) Director, productor y guionista estadounidense.",MISCELÁNEA,CAMBIO,NULL,NULL,,,
La incertidumbre es una posición incómoda. Pero la certeza es una posición absurda.,Voltaire (1694-1778) Filósofo y escritor francés.,SENTIMIENTOS,ANGUSTIA,NULL,NULL,,,
Hay muchos remedios que curan el amor; pero ninguno infalible.,François de La Rochefoucauld (1613-1680) Escritor francés.,SOCIEDAD,EDUCACIÓN,NULL,NULL,,,
Poner el remiendo junto al agujero nunca es la mejor solución.,Jules d'Aurevilly (1808-1889) Novelista y crítico francés.,SOCIEDAD,TRABAJO,TRABAJAR,NULL,,,
Los grandes egoístas son el plantel de los grandes malvados.,Concepción Arenal (1820-1893) Escritora y socióloga española.,SOCIEDAD,MEDIOS,PRENSA,NULL,,,
"Si es un deber respetar los derechos de los demás, es también un deber mantener los propios.",Herbert Spencer (1820-1903) Escritor británico.,CUALIDADES,CARÁCTER,NULL,NULL,,,
Hay gente que cree que todo cuanto se hace poniendo cara seria es razonable.,Georg Christoph Lichtenberg (1742-1799) Profesor de física y científico alemán.,MISCELÁNEA,DESGRACIA,NULL,NULL,,,
La desconfianza es una señal de debilidad.,Indira Gandhi (1917-1984) Estadista y política hindú.,CUALIDADES,SINCERIDAD,NULL,NULL,,,
"El mayor amigo de la verdad es el tiempo; su más encarnizado enemigo, el prejuicio.",Charles Caleb Colton (1780-1832) Poeta inglés.,NATURALEZA,MUERTE,NULL,NULL,,,
Los hombres de Estado son como los cirujanos: sus errores son mortales.,François Mauriac (1905-1970) Escritor francés.,SENTIMIENTOS,DOLOR,NULL,NULL,,,
Me gusta más la verdad cuando soy yo quien la descubre que cuando es otro quien me la muestra.,Vincent Voiture (1597-1648) Poeta francés.,SENTIMIENTOS,NECESIDAD,NULL,NULL,,,
El secreto para tener buena salud es que el cuerpo se agite y que la mente repose.,Vincent Voiture (1597-1648) Poeta francés.,SENTIMIENTOS,AMOR,NULL,NULL,,,
"Podemos detenernos cuando subimos, pero nunca cuando descendemos.",Napoleón I (1769-1821) Napoleón Bonaparte. Emperador francés.,SENTIMIENTOS,AMOR,CORAZÓN,NULL,,,
La ambición es como un torrente: no mira nunca hacia atrás.,Benjamin Jonson (1572-1637) Dramaturgo inglés.,SENTIMIENTOS,AMOR,NULL,NULL,,,
Los que se pasan la vida haciendo revoluciones a medias no hacen más que cavarse una tumba.,Louis de Saint-Just (1767-1794) Político revolucionario francés.,CUALIDADES,SABIDURÍA,NULL,NULL,,,
Quien quiere ahogar a su perro dice que está rabioso.,Molière (1622-1673) Comediografo francés.,NATURALEZA,SER HUMANO,LENGUAJE,NULL,,,
Los pueblos a quienes no se hace justicia se la toman por sí mismos más tarde o más pronto.,Voltaire (1694-1778) Filósofo y escritor francés.,CUALIDADES,UTILIDAD,NULL,NULL,,,
"Más que la civilización, la justicia es la necesidad del pueblo.",Pietro Colletta (1775-1831) Militar e historiador italiano.,MISCELÁNEA,DIVERSIÓN,NULL,NULL,,,
Para la diplomacia una cuestión aplazada ya está resuelta.,André Maurois (1885-1967) Novelista y ensayista francés.,SENTIMIENTOS,AMOR,NULL,NULL,,,
"El que impone un castigo desproporcionado no corrige, sólo se venga.",Tayeb Saleh (1929-2009) Escritor sudanés.,TIEMPO,JUVENTUD,NULL,NULL,,,
El descuido es un sucedáneo de la mentira.,Marguerite Yourcenar (1903-1987) Escritora francesa.,CUALIDADES,HONRADEZ,NULL,NULL,,,
"Los hechos son el principio, el medio, el fin; hace un daño irreparable descansar sobre grandes discursos.",Georges Clemenceau (1841-1929) Político y periodista francés.,MISCELÁNEA,ESCLAVOS,NULL,NULL,,,
Un pedante es un estúpido adulterado por el estudio.,Miguel de Unamuno (1864-1936) Filósofo y escritor español.,CUALIDADES,INTELIGENCIA,NULL,NULL,,,
"Mucha buena gente que sería incapaz de robarnos el dinero, nos roba sin escrúpulo alguno el tiempo que necesitamos para ganarlo.",Jacinto Benavente (1866-1954) Dramaturgo español.,SOCIEDAD,POLÍTICA,POLÍTICOS,NULL,,,
"Los derechos se toman, no se piden; se arrancan, no se mendigan.",José Martí (1853-1895) Político y escritor cubano.,PENSAMIENTO Y RAZÓN,MEMORIA,NULL,NULL,,,
"Hay mucha gente en el mundo, pero todavía hay más rostros, pues cada uno tiene varios.",Rainer María Rilke (1875-1926) Escritor austríaco.,CUALIDADES,INTELIGENCIA,NULL,NULL,,,
El futuro es nuestro refugio ante la feroz competencia de nuestros antepasados.,Gilbert Keith Chesterton (1874-1936) Escritor británico.,CUALIDADES,INTELIGENCIA,NULL,NULL,,,
Ningún amor puede sustituir al amor.,Marguerite Duras (1914-1996) Novelista y guionista francesa.,MISCELÁNEA,ENFERMEDAD,NULL,NULL,,,
Es curioso lo lejana que resulta una desgracia cuando no nos atañe personalmente.,John Steinbeck (1902-1968) Escritor estadounidense.,ARTE,LITERATURA,ESCRITOR,NULL,,,
No hace falta renunciar al pasado al entrar en el porvenir. Al cambiar las cosas no es necesario perderlas.,John Cage (1912-1992) Compositor estadounidense.,CUALIDADES,EXPERIENCIA,NULL,NULL,,,
"Nada hay más admirable y heroico, que sacar valor del seno mismo de las desgracias, y revivir con cada golpe que debiera darnos muerte.",Louis-Antoine Caraccioli (1719-1803) Escritor y poeta francés.,SOCIEDAD,LIBERTAD,NULL,NULL,,,
Rendirse ante la adversidad es mostrarse de su parte.,Diego de Saavedra Fajardo (1584-1648) Diplomático y escritor español.,CUALIDADES,ADAPTACIÓN,NULL,NULL,,,
Creo que un héroe es quien entiende la responsabilidad que conlleva su libertad.,"Bob Dylan (1941-?) Cantautor, compositor y músico estadounidense.",PENSAMIENTO Y RAZÓN,DESEO,NULL,NULL,,,
Ayer es sólo un recuerdo; mañana nunca es lo que se supone que es.,"Bob Dylan (1941-?) Cantautor, compositor y músico estadounidense.",CUALIDADES,MESURA,NULL,NULL,,,
En el mundo hay sólo dos maneras de triunfar: por la propia capacidad o por la imbecilidad ajena.,Jean de la Bruyere (1645-1696) Escritor francés.,DEFECTOS,DESORDEN,NULL,NULL,,,
"Todo lo que es hermoso tiene su instante, y pasa.",Luis Cernuda (1902-1963) Poeta español.,SOCIEDAD,TRABAJO,NULL,NULL,,,
El sueño devora la existencia: es lo que tiene de bueno.,René de Chateaubriand (1768-1848) Diplomático y escritor francés.,SENTIMIENTOS,VENGANZA,NULL,NULL,,,
Las leyes no se mejorarían nunca si no existieran numerosas personas cuyos sentimientos morales son mejores que las leyes existentes.,John Stuart Mill (1806-1873) Filósofo y economista inglés.,MISCELÁNEA,AYUDAR,NULL,NULL,,,
La conciencia vale por mil testigos.,Quintiliano (35-96) Escritor hispanolatino.,SOCIEDAD,CONDUCTA,NULL,NULL,,,
Vivir en contradicción con la razón propia es el estado moral más intolerable.,Leon Tolstoi (1828-1910) Escritor ruso.,DEFECTOS,VIOLENCIA,NULL,NULL,,,
En cuanto el hombre abandona la envidia empieza a prepararse para entrar en el camino de la dicha.,Wallace Stevens (1879-1955) Poeta estadounidense.,DEFECTOS,VIOLENCIA,NULL,NULL,,,
El poeta es un mentiroso que siempre dice la verdad.,"Jean Cocteau (1889-1963) Escritor, pintor, coreógrafo.",CUALIDADES,FIRMEZA,NULL,NULL,,,
"Excelente maestro es aquel que, enseñando poco, hace nacer en el alumno un deseo grande de aprender.",Arturo Graf (1848-1913) Escritor y poeta italiano.,MISCELÁNEA,SEGURIDAD,NULL,NULL,,,
El primer arte que deben aprender los que aspiran al poder es el de ser capaces de soportar el odio.,Séneca (2 AC-65) Filósofo latino.,SENTIMIENTOS,AMOR,NULL,NULL,,,
"En cualquier momento de decisión lo mejor es hacer lo correcto, luego lo incorrecto, y lo peor es no hacer nada.",Theodore Roosevelt (1858-1919) Político estadounidense.,PENSAMIENTO Y RAZÓN,DESEO,NULL,NULL,,,
A muchos sólo les motiva el dinero para ser honestos.,Carlo Dossi (1849-1910) Escritor italiano.,SENTIMIENTOS,AMOR,NULL,NULL,,,
Debes hacer las cosas que crees que no puedes hacer.,"Eleanor Roosevelt (1884-1962) Defensora de los derechos sociales, diplomática y",MISCELÁNEA,BUSCAR,NULL,NULL,,,
"Puede que lo que hacemos no traiga siempre la felicidad, pero si no hacemos nada, no habrá felicidad.",Albert Camus (1913-1960) Escritor francés.,SOCIEDAD,GOBIERNO,NULL,NULL,,,
"Todo niño viene al mundo con cierto sentido del amor, pero depende de los padres, de los amigos, que este amor salve o condene.",Graham Greene (1904-1991) Novelista británico.,SENTIMIENTOS,SOLEDAD,NULL,NULL,,,
"Si los triangulos hicieran un dios, lo idearían con tres lados.",Montesquieu (1689-1755) Escritor y político francés.,PENSAMIENTO Y RAZÓN,OPINIÓN,NULL,NULL,,,
"La razón me dice que Dios existe, pero también me dice que nunca podré saber lo que es.",Voltaire (1694-1778) Filósofo y escritor francés.,NATURALEZA,SER HUMANO,PALABRAS,NULL,,,
En ninguna cosa la infidelidad es más innoble y repugnante que en el amor.,Sören Aabye Kierkegaard (1813-1855) Literato y filósofo danés.,SOCIEDAD,LIBERTAD,NULL,NULL,,,
"Ésta es nuestra obligación hacia el niño: darle un rayo de luz, y seguir nuestro camino.",Maria Montessori (1870-1952) Educadora y médica italiana.,ARTE,LITERATURA,ESCRITOR,NULL,,,
"El cambio es ley de vida. Cualquiera que sólo mire al pasado o al presente, se perderá el futuro.",John Fitzgerald Kennedy (1917-1963) Político estadounidense.,MISCELÁNEA,NULL,NULL,NULL,,,
Al luchar contra la angustia uno nunca produce serenidad; la lucha contra la angustia sólo produce nuevas formas de angustia.,Simone Weil (1909-1943) Filósofa y activista política francesa.,ARTE,LITERATURA,ESCRITOR,NULL,,,
La única defensa contra el mundo es un conocimiento perfecto de él.,John Locke (1632-1704) Filósofo inglés.,MISCELÁNEA,TONTERÍA,NULL,NULL,,,
Reza como si todo dependiera de Dios. Trabaja como si todo dependiera de ti.,San Agustín (354-430) Obispo y filósofo.,MISCELÁNEA,TONTERÍA,NULL,NULL,,,
"El periodista de investigación es a menudo indispensable para el bienestar de la sociedad, pero sólo si sabe cuando dejar de investigar.",Theodore Roosevelt (1858-1919) Político estadounidense.,MISCELÁNEA,IGUALDAD,NULL,NULL,,,
La debilidad de carácter es el único defecto que no se puede enmendar.,François de La Rochefoucauld (1613-1680) Escritor francés.,DEFECTOS,VANIDAD,NULL,NULL,,,
"Mi vida ha estado llena de terribles desgracias, la mayoría de las cuales nunca sucedieron.",Michel de Montaigne (1533-1592) Escritor y filósofo francés.,CUALIDADES,PRUDENCIA,NULL,NULL,,,
"Las palabras van al corazón, cuando han salido del corazón.",Rabindranath Tagore (1861-1941) Filósofo y escritor indio.,CUALIDADES,TÉCNICA,NULL,NULL,,,
La muerte es alguien que se retira de sí mismo y vuelve a nosotros. No hay más muertos que los llevados por los vivos.,Pío Baroja (1872-1956) Escritor español.,PENSAMIENTO Y RAZÓN,PRETENSIÓN,NULL,NULL,,,
Todos los dolores que nos alejan son dolores perdidos.,Simone Weil (1909-1943) Filósofa y activista política francesa.,MISCELÁNEA,MANDAR,NULL,NULL,,,
El rico come; el pobre se alimenta.,Francisco de Quevedo (1580-1645) Escritor español.,ARTE,LITERATURA,POESÍA,NULL,,,
"El amor es el gran refugio del hombre contra la soledad, la inmensa soledad que le han impuesto la naturaleza, la especie, las leyes eternas.",Henry Bataille (1872-1922) Dramaturgo francés.,PENSAMIENTO Y RAZÓN,RAZÓN,RAZÓN O PASIÓN,NULL,,,
El corazón es un buen burgués. Los sentidos lo arrastran a la juerga.,Henry Bataille (1872-1922) Dramaturgo francés.,SOCIEDAD,RELIGIÓN,ATEÍSMO,NULL,,,
Todo miente en ausencia del amor.,Henry Bataille (1872-1922) Dramaturgo francés.,TIEMPO,ADULTO,NULL,NULL,,,
La más dulce vida consiste en no saber nada.,Sófocles (495AC-406AC) Poeta trágico griego.,SOCIEDAD,LIBERTAD,NULL,NULL,,,
La lengua no es la envoltura del pensamiento sino el pensamiento mismo.,Miguel de Unamuno (1864-1936) Filósofo y escritor español.,NATURALEZA,SER HUMANO,PALABRAS,NULL,,,
Nada es más útil al hombre que aquellas artes que no tienen ninguna utilidad.,Ovidio (43 AC-17) Poeta latino.,MISCELÁNEA,APARIENCIA,NULL,NULL,,,
Las diversiones son la felicidad de aquellos que no saben pensar.,Alexander Pope (1688-1744) Poeta inglés.,MISCELÁNEA,JUZGAR,NULL,NULL,,,
El corazón necesita un segundo corazón. La alegría compartida es doble alegría.,Christoph A. Tiedge (1752-1841) Poeta alemán.,PENSAMIENTO Y RAZÓN,VERDAD,NULL,NULL,,,
Un joven no debe comprar valores seguros.,"Jean Cocteau (1889-1963) Escritor, pintor, coreógrafo.",SOCIEDAD,NULL,NULL,NULL,,,
Ser completamente honrados consigo mismo es un buen ejercicio.,Sigmund Freud (1856-1939) Médico austriaco.,PENSAMIENTO Y RAZÓN,MENTIRAS,NULL,NULL,,,
El esclavo que obedece escoge obedecer.,Simone de Beauvoir (1908-1986) Novelista e intelectual francesa.,CUALIDADES,SENTIDO COMÚN,NULL,NULL,,,
Se mide la inteligencia del individuo por la cantidad de incertidumbres que es capaz de soportar.,Immanuel Kant (1724-1804) Filosofo alemán.,CUALIDADES,IDENTIDAD,NULL,NULL,,,
"Si no logras desarrollar toda tu inteligencia, siempre te queda la opción de hacerte político.",Gilbert Keith Chesterton (1874-1936) Escritor británico.,SOCIEDAD,DINERO,NULL,NULL,,,
La memoria es la inteligencia de los tontos.,Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,MISCELÁNEA,CONOCER,NULL,NULL,,,
El reparto más equitativo que existe es el de la inteligencia: todo el mundo cree tener suficiente.,Noel Clarasó (1899-1985) Escritor español.,TIEMPO,NULL,NULL,NULL,,,
Cada generación piensa que puede ser más inteligente que la anterior.,"Aldous Huxley (1894-1963) Novelista, ensayista y poeta inglés.",PENSAMIENTO Y RAZÓN,VERDAD,NULL,NULL,,,
Las epidemias han tenido más influencia que los gobiernos en el devenir de nuestra historia.,George Bernard Shaw (1856-1950) Escritor irlandés.,CUALIDADES,HONESTIDAD,NULL,NULL,,,
Hay dos clases de escritores geniales: los que piensan y los que hacen pensar.,"Joseph Roux (1834-1905) Abad católico, poeta y filólogo francés.",DEFECTOS,CODICIA,NULL,NULL,,,
Nuestra experiencia se compone más de ilusiones perdidas que de sabiduría adquirida.,"Joseph Roux (1834-1905) Abad católico, poeta y filólogo francés.",NATURALEZA,SER HUMANO,LENGUAJE,NULL,,,
Qué pequeña es la luz de los faros de quien sueña con la libertad.,Joaquín Sabina (1949-?) Cantautor y poeta español.,NATURALEZA,SER HUMANO,LENGUAJE,NULL,,,
Con los zorros hay que ser un poco zorro.,Thomas Fuller (1610-1661) Clérigo y escritor británico.,CUALIDADES,PERSEVERANCIA,NULL,NULL,,,
"Aquellos que reprimen el deseo, lo hacen porque es lo suficientemente débil para ser reprimido.",William Blake (1757-1827) Poeta y pintor inglés.,CUALIDADES,GENIO,NULL,NULL,,,
Podemos estar seguros de que la mayor esperanza para mantener el equilibro ante cualquier situación recae en nosotros mismos.,Francis J. Braceland (1900-1985) Psiquiatra estadounidense.,CUALIDADES,IDENTIDAD,NULL,NULL,,,
Existen empresas en las cuales el verdadero método lo constituyen un cierto y cuidadoso desorden.,Herman Melville (1819-1891) Escritor estadounidense.,CIENCIAS,TECNOLOGÍA,NULL,NULL,,,
No valores el trabajo hasta que acabe el día y la tarea esté hecha.,Elizabeth Barrett Browing (1806-1861) Poetisa inglesa.,ARTE,LITERATURA,POESÍA,POETAS,,,
Antes de empezar un viaje de venganza cava dos tumbas.,Confucio (551 AC-478 AC) Filósofo chino.,SOCIEDAD,CASTIGOS,NULL,NULL,,,
"Lo que hacemos por nosotros mismos muere con nosotros, lo que hacemos por los demás y por el mundo permanece y es inmortal.",Albert Pike (1809-1891) Abogado y escritor estadounidense.,PENSAMIENTO Y RAZÓN,VERDAD,NULL,NULL,,,
Deberíamos conocer lo que nos confunde de aquellos con los que vivimos y a los que queremos.,Norman Maclean (1902-1990) Escritor estadounidense.,MISCELÁNEA,OLVIDAR,NULL,NULL,,,
"Si hay violencia en nuestros corazones, es mejor ser violentos que ponernos el manto de la no violencia para encubrir la impotencia.",Mahatma Gandhi (1869-1948) Político y pensador indio.,SENTIMIENTOS,ESPERANZA,NULL,NULL,,,
"Me opongo a la violencia, porque cuando parece causar el bien éste sólo es temporal, el mal que causa es permanente.",Mahatma Gandhi (1869-1948) Político y pensador indio.,SOCIEDAD,DERECHOS,NULL,NULL,,,
Carácter firme es aquel que puede pasar sin éxitos.,Emerson (1803-1882) Poeta y pensador estadounidense.,PENSAMIENTO Y RAZÓN,PENSAMIENTO,PENSAR,NULL,,,
La puerta mejor cerrada es aquella que puede dejarse abierta.,Proverbio chino,SENTIMIENTOS,MIEDO,NULL,NULL,,,
"La luna y el amor cuando no crecen, disminuyen.",Proverbio portugués,PENSAMIENTO Y RAZÓN,RAZÓN,NULL,NULL,,,
"Normalmente sólo vemos lo que queremos ver; tanto es así, que a veces lo vemos donde no está.",Eric Hoffer (1902-1983) Escritor y filósofo estadounidense.,MISCELÁNEA,TONTERÍA,NULL,NULL,,,
"El amor platónico es como un revolver que manejamos sin darnos cuenta de que, como está cargado, en cualquier momento puede dispararse.",William Somerset Maugham (1874-1965) Escritor británico.,CUALIDADES,SABIDURÍA,SABIO,NULL,,,
"Yo no busco, yo encuentro.",Pablo Picasso (1881-1973) Pintor español.,PENSAMIENTO Y RAZÓN,RECUERDOS,NULL,NULL,,,
"Quien gobierna a un pueblo dando buen ejemplo se parece a la estrella polar, que permanece inmutable mientras los astros dan vueltas a su alrededor.",Confucio (551 AC-478 AC) Filósofo chino.,CUALIDADES,BONDAD,NULL,NULL,,,
Vivir sola es como estar en una fiesta donde nadie te hace caso.,Marilyn Monroe (1926-1962) Actriz estadounidense.,ARTE,LITERATURA,POESÍA,POETAS,,,
"Es mucho más difícil describir que opinar. Infinitamente más. En vista de lo cual, todo el mundo opina.",Josep Pla (1897-1981) Escritor español.,CUALIDADES,AMBICIÓN,NULL,NULL,,,
"Si todo pudiera explicarse mediante la palabra, tarde o temprano acabaríamos con el mundo.",Henry Moore (1898-1986) Escultor británico.,SENTIMIENTOS,SUFRIMIENTO,NULL,NULL,,,
"La libertad es un aire habitual, sin perfumes exóticos, que se respira junto con el oxígeno sin pensarlo, pero conscientes de que existe.",Juan Carlos Onetti (1909-1994) Escritor uruguayo.,MISCELÁNEA,CONVENCER,NULL,NULL,,,
"La mano que escribió una página, construyó una ciudad.",Herbert Marshall McLuhan (1911-1980) Comunicólogo canadiense.,DEFECTOS,IGNORANCIA,NULL,NULL,,,
Lo peor de las mansiones modernas es que no tienen lugar para los fantasmas.,Oliver Wendell Holmes (1809-1894) Poeta y médico estadounidense.,SOCIEDAD,RELIGIÓN,NULL,NULL,,,
"El que lo piensa todo primero, no escribe nada después.",Francisco Umbral (1935-2007) Escritor español.,SOCIEDAD,CONSTITUCIÓN,NULL,NULL,,,
"Nadie debe cometer la misma tontería dos veces, la elección es suficientemente amplía.",Jean Paul Sartre (1905-1980) Filósofo y escritor francés.,TIEMPO,PASADO,NULL,NULL,,,
El cuando y el pero es la herencia de los tontos.,Proverbio italiano,MISCELÁNEA,NULL,NULL,NULL,,,
"Donde la igualdad no se discute, allí también hay subordinación.",George Bernard Shaw (1856-1950) Escritor irlandés.,NATURALEZA,MUERTE,NULL,NULL,,,
"Para mí la vanidad es una dolencia tan superficial, que basta con rascarme un rato para que se me quite.",Tristan Bernard (1866-1947) Novelista y periodista francés.,SOCIEDAD,LIBERTAD,NULL,NULL,,,
No es la blancura de los cabellos la que comunica prudencia.,Menandro de Atenas (342 adC-292 adC) Dramaturgo Griego,MISCELÁNEA,INJUSTICIA,NULL,NULL,,,
La técnica es el esfuerzo para ahorrar esfuerzo.,José Ortega y Gasset (1883-1955) Filósofo y ensayista español.,SENTIMIENTOS,NULL,NULL,NULL,,,
"De querer ser a creer que se es ya, va la distancia de lo trágico o lo cómico.",José Ortega y Gasset (1883-1955) Filósofo y ensayista español.,SENTIMIENTOS,NULL,NULL,NULL,,,
Manda el que puede y obedece el que quiere.,Alessandro Manzoni (1785-1873) Poeta y escritor italiano.,TIEMPO,FUTURO,NULL,NULL,,,
La poesía nace del dolor. La alegría es un fin en sí misma.,Pablo Neruda (1904-1973) Poeta chileno.,SOCIEDAD,POLÍTICA,POLÍTICOS,NULL,,,
"La lógica es buena para razonar, pero mala para vivir.",Remy de Gourmont (1858-1915) Novelista francés.,SOCIEDAD,LEYES,JUSTICIA,NULL,,,
Me aburren los ateos: siempre están hablando de Dios.,Heinrich Böll (1917-1985) Escritor alemán,SENTIMIENTOS,ALEGRÍA,NULL,NULL,,,
Ser adulto significa olvidar lo desconsolados que nos hemos sentido con frecuencia de niños.,Heinrich Böll (1917-1985) Escritor alemán,SOCIEDAD,LEYES,NULL,NULL,,,
"Uno tiene que ir muy lejos, para saber hasta dónde se puede ir.",Heinrich Böll (1917-1985) Escritor alemán,PENSAMIENTO Y RAZÓN,RAZÓN,NULL,NULL,,,
Hay quienes sólo utilizan las palabras para disfrazar sus pensamientos.,Voltaire (1694-1778) Filósofo y escritor francés.,SOCIEDAD,TERRORISMO,NULL,NULL,,,
"Estamos tan acostumbrados a disfrazarnos para los demás, que al final nos disfrazamos para nosotros mismos.",François de La Rochefoucauld (1613-1680) Escritor francés.,MISCELÁNEA,OBRAR,NULL,NULL,,,
El que se erige en juez de la verdad y el conocimiento es desalentado por las carcajadas de los dioses.,Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,SENTIMIENTOS,FELICIDAD,NULL,NULL,,,
En una época de engaño universal decir la verdad es un acto revolucionario.,George Orwell (1903-1950) Escritor británico.,MISCELÁNEA,DIGNIDAD,NULL,NULL,,,
"La sociedad no es una enfermedad, sino un desastre. Es un milagro estúpido que consigamos vivir en ella.",Emil Cioran (1911-1995) Escritor y filósofo rumano.,SOCIEDAD,LIBERTAD,NULL,NULL,,,
La mentira es una forma de talento.,Emil Cioran (1911-1995) Escritor y filósofo rumano.,CUALIDADES,SINCERIDAD,NULL,NULL,,,
Todo el mundo recibe tanta información durante todo el día que pierde su sentido común.,Gertrude Stein (1874-1946) Escritora y poetisa estadounidense.,TIEMPO,PRESENTE,NULL,NULL,,,
Rosa es una rosa es una rosa es una rosa.,Gertrude Stein (1874-1946) Escritora y poetisa estadounidense.,MISCELÁNEA,ARRIESGAR,NULL,NULL,,,
El dinero siempre está ahí; sólo cambian los bolsillos.,Gertrude Stein (1874-1946) Escritora y poetisa estadounidense.,SENTIMIENTOS,AMOR,AMAR,NULL,,,
No dejaremos de explorar y al final de nuestra búsqueda llegaremos a donde empezamos y conoceremos por primera vez el lugar.,"T. S. Eliot (1888-1965) Poeta, dramaturgo y crítico literario.",CUALIDADES,EXCELENCIA,NULL,NULL,,,
Mi misión es matar el tiempo y la de éste matarme a su vez. Se está bien entre asesinos.,Emil Cioran (1911-1995) Escritor y filósofo rumano.,MISCELÁNEA,REPUTACIÓN,NULL,NULL,,,
"La verdad no siempre es bonita, pero el hambre de ella sí.",Nadine Gordimer (1923-2014) Escritora sudafricana.,MISCELÁNEA,DESTINO,NULL,NULL,,,
Ningún legado es tan rico como la honestidad.,William Shakespeare (1564-1616) Escritor británico.,SENTIMIENTOS,GRATITUD,NULL,NULL,,,
Los hombres olvidan con mayor rapidez la muerte de su padre que la pérdida de su patrimonio.,"Nicolás Maquiavelo (1469-1527) Historiador, político y teórico italiano.",SOCIEDAD,MATRIMONIO,NULL,NULL,,,
El lenguaje de hoy no es peor que el de ayer. Es más práctico. Como el mundo en que vivimos.,Noam Chomsky (1928-?) Escritor y activista político estadounidense.,SENTIMIENTOS,ARREPENTIMIENTO,NULL,NULL,,,
El gran peligro de la globalización es que nos empuja a una megalengua común.,Umberto Eco (1932-2016) Escritor italiano.,MISCELÁNEA,CONSEJO,NULL,NULL,,,
A veces la vida te pegará en la cabeza con un ladrillo. Pero no pierdas la fe.,Steve Jobs (1955-2011) Empresario e informático estadounidense.,SENTIMIENTOS,AMOR,AMAR,NULL,,,
Ser el más rico del cementerio no es lo que me importa. Acostarme por la noche y pensar que he hecho algo genial. Eso es lo que más me importa.,Steve Jobs (1955-2011) Empresario e informático estadounidense.,SENTIMIENTOS,AMOR,AMAR,NULL,,,
"Tu tiempo es limitado, de modo que no lo malgastes viviendo la vida de alguien distinto.",Steve Jobs (1955-2011) Empresario e informático estadounidense.,CUALIDADES,CARIDAD,NULL,NULL,,,
Un ordenador es para mí la herramienta más sorprendente que hayamos ideado. Es el equivalente a una bicicleta para nuestras mentes.,Steve Jobs (1955-2011) Empresario e informático estadounidense.,DEFECTOS,CODICIA,NULL,NULL,,,
"Los poetas inmaduros imitan; los poetas maduros roban; los malos estropean lo que roban, y los buenos lo convierten en algo mejor.","T. S. Eliot (1888-1965) Poeta, dramaturgo y crítico literario.",ARTE,LITERATURA,POESÍA,POETAS,,,
"Es feo ser digno de castigo, pero poco glorioso castigar.",Michel Foucault (1926-1984) Historiador de las ideas y filósofo francés.,CUALIDADES,HONOR,NULL,NULL,,,
"¿Qué es la verdad? Pregunta difícil, pero la he resuelto en lo que a mi concierne diciendo que es lo que te dice tu voz interior.",Mahatma Gandhi (1869-1948) Político y pensador indio.,MISCELÁNEA,APARIENCIA,NULL,NULL,,,
Tenemos dos fuerzas que nos ayudan a vivir: el olvido y la esperanza.,"Vicente Blasco Ibáñez (1867-1928) Escritor, periodista y político español.",SOCIEDAD,PODER,NULL,NULL,,,
Esperar es siempre temer.,Jacinto Benavente (1866-1954) Dramaturgo español.,MISCELÁNEA,AUTORIDAD,NULL,NULL,,,
El derecho viene a perecer menos veces por la violencia que por la corrupción.,Herni Dominique Lacordaire (1802-1861) Sacerdote y predicador francés.,MISCELÁNEA,DISCUSIÓN,NULL,NULL,,,
Un hombre que no piensa en sí mismo no piensa en nada.,Oscar Wilde (1854-1900) Dramaturgo y novelista irlandés.,SENTIMIENTOS,NULL,NULL,NULL,,,
A los verdugos se les reconoce siempre. Tienen cara de miedo.,Jean Paul Sartre (1905-1980) Filósofo y escritor francés.,MISCELÁNEA,ÉXITO,NULL,NULL,,,
"En ciertos momentos, la única forma de tener razón es perdiéndola.",José Bergamín (1895-1983) Escritor español.,CUALIDADES,BONDAD,NULL,NULL,,,
La tontería se coloca siempre en primera fila para ser vista; la inteligencia detrás para ver.,Isabel de Rumania (1843-1916) Escritora rumana.,MISCELÁNEA,FAMA,NULL,NULL,,,
"El sabio no dice lo que sabe, y el necio no sabe lo que dice.",Proverbio chino,MISCELÁNEA,INTERESES,NULL,NULL,,,
Los recuerdos comunes son a veces los más pacificadores.,Marcel Proust (1871-1922) Escritor francés.,CUALIDADES,DISCIPLINA,NULL,NULL,,,
"No puedes obligarte a ti mismo a sentir algo que no sientes, pero si puedes obligarte a hacer el bien, a pesar de lo que sientes",Pearl S. Buck (1892-1973) Novelista estadounidense.,SOCIEDAD,PROGRESO,NULL,NULL,,,
